ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT;STATUS
1267;CAMPO DO SANTA TEREZINHA;SETE ESTRELAS, IMPERIAL;CAMPO DE FUTEBOL SOCIETY;AVENIDA;PROFESSOR CLOVIS SALGADO;790.0;;BANDEIRANTES; ;POINT (604150.85 7803244.47);SMEL;ATIVO
1300;CAMPO DO PASTORIL;;CAMPO DE FUTEBOL;AVENIDA;SANTA MATILDE;299.0;;DOM CABRAL; ;POINT (604734.17 7796664.35);SMEL;ATIVO
1873;QUADRA DO CENTRO POLIESPORTIVO E DE LAZER JOÃO AMAZONAS;MARIANO DE ABREU, PEDREIRA II;QUADRA POLIESPORTIVA;BECO;TRES MIL SETECENTOS E TRES;139.0;;MARIANO DE ABREU; ;POINT (616118.47 7799660.19);SMASAC;INATIVO
1879;CAMPO DO CENTRO POLIESPORTIVO E DE LAZER JOÃO AMAZONAS;CAMPO JOÃO AMAZONAS, MARIANO DE ABREU, PEDREIRA II;CAMPO DE FUTEBOL;BECO;TRES MIL SETECENTOS E TRES;139.0;;MARIANO DE ABREU; ;POINT (616157.03 7799730.09);SMASAC;ATIVO
1327;CAMPO DO PAULO VI;;CAMPO DE FUTEBOL;RUA;NEBLINA;120.0;;CONJUNTO PAULO VI; ;POINT (616569.62 7806639.85);SMED;ATIVO
2725;PISTA DE SKATE DO PAULO VI;;PISTA DE SKATE;RUA;NEBLINA;120.0;;CONJUNTO PAULO VI; ;POINT (616506.27 7806662.25);SMEL;ATIVO
1227;PISTA DE SKATE DA PRAÇA DA PUC BARREIRO 1 (DOM JOÃO RESENDE COSTA);;PISTA DE SKATE;AVENIDA;AFONSO VAZ DE MELO;1000.0;;BARREIRO; ;POINT (602041.57 7790886.82);SMEL;ATIVO
1298;CENTRO DE REFERÊNCIA ESPORTIVA DA PESSOA COM DEFICIÊNCIA;;QUADRA POLIESPORTIVA;AVENIDA;NOSSA SENHORA DE FATIMA;2283.0;;CARLOS PRATES; ;POINT (609683.21 7797604.44);SMEL;ATIVO
2183;PISCINA DO CENTRO DE REFERÊNCIA ESPORTIVA DA PESSOA COM DEFICIÊNCIA - CREPCD;;PISCINA;AVENIDA;NOSSA SENHORA DE FATIMA;2283.0;;CARLOS PRATES; ;POINT (609662.30 7797588.86);SMEL;ATIVO
1302;QUADRA DA PRAÇA ADALMO PASSOS LOPES;PRAÇA DO FUTURO;QUADRA DE FUTSAL;PRACA;ADALMO PASSOS LOPES;55.0;;PINDORAMA; ;POINT (602680.79 7797949.02);SMEL;ATIVO
1237;CAMPO DA VILA CALIFÓRNIA;;CAMPO DE FUTEBOL SOCIETY;RUA;AROEIRA NEVES;501.0;;CONJUNTO NOVO DOM BOSCO; ;POINT (603635.73 7797418.81);SLU;ATIVO
1246;QUADRA DA RUA DO BRÁS;;QUADRA DE FUTSAL;RUA;DO BRAS;407.0;;VILA PIRATININGA; ;POINT (599091.69 7789528.8);SMEL;ATIVO
1217;PISTA DE SKATE DA PRAÇA JOÃO ALVES;MANGUEIRA, FURACÃO;PISTA DE SKATE;AVENIDA;VILARINHO;5355.0;;MANTIQUEIRA; ;POINT (606516.38 7809963.73);SMEL;ATIVO
2341;QUADRA DO CRAS MORRO DAS PEDRAS;;QUADRA POLIESPORTIVA;AVENIDA;SILVA LOBO;2369.0;;GRAJAÚ; ;POINT (608488.98 7794504.90);SMASAC;ATIVO
1356;CAMPO DO COMERCIAL ESPORTE CLUBE;;CAMPO DE FUTEBOL;AVENIDA;SINFRONIO BROCHADO;1053.0;;BARREIRO; ;POINT (602236.92 7790627.03);SMFA;ATIVO
1266;CAMPO DO PAQUETÁ;PRUDENTINO;CAMPO DE FUTEBOL SOCIETY;RUA;JOAO PROCOPIO DE CARVALHO;65.0;;PAQUETÁ; ;POINT (605721.51 7800193.86);SMEL;INATIVO
2641;QUADRA DA RUA ROMERO GOMES VIEIRA;;QUADRA POLIESPORTIVA;RUA;ROMERO GOMES VIEIRA;595.0;;VILA MANGUEIRAS; ;POINT (600756.62 7786405.94);SMEL;ATIVO
1512;ACADEMIA DO PARQUE ECOLÓGICO E CULTURAL PROF. MARCOS MAZZONI;;ACADEMIA A CÉU ABERTO;RUA;DEPUTADO BERNARDINO DE SENA FIGUEIREDO;1022.0;;CIDADE NOVA; ;POINT (612923.26 7800341.88);FPMZB-SMMA;ATIVO
1970;QUADRA DO ENGENHO NOGUEIRA 1;;QUADRA POLIESPORTIVA;RUA;JOAO MARTINS DE SOUZA;160.0;;ENGENHO NOGUEIRA; ;POINT (606617.39 7800753.27);SMEL;ATIVO
1971;QUADRA DO ENGENHO NOGUEIRA 2;;QUADRA DE PETECA;RUA;JOAO MARTINS DE SOUZA;160.0;;ENGENHO NOGUEIRA; ;POINT (606640.94 7800764.84);SMEL;ATIVO
2381;QUADRA DO CERSAM AD PAMPULHA NOROESTE;;QUADRA POLIESPORTIVA;AVENIDA;JOAO XXIII;1253.0;;MANACÁS; ;POINT (605376.85 7799220.86);SMSA;ATIVO
1232;QUADRA DA PRAÇA JARDIM SÃO JOSÉ;;QUADRA DE FUTSAL;AVENIDA;JOAO XXIII;1001.0;;MANACÁS; ;POINT (605100.86 7799256.39);SMEL;ATIVO
3132;CAMPO DO SERRA VERDE;CAMPO DA RUA GUIDO LEÃO;CAMPO DE FUTEBOL;RUA;GUIDO LEAO;520.0;;SERRA VERDE; ;POINT (609383.96 7810802.89);SMEL;ATIVO
2426;CAMPO DO PARQUE DO RIBEIRO;;CAMPO DE FUTEBOL SOCIETY;RUA;ANTONIO RIBEIRO DE ABREU;875.0;;RIBEIRO DE ABREU; ;POINT (614681.62 7806512.82);SMEL;ATIVO
1658;ACADEMIA DO MUNICIPAL DO PARQUE DO BAIRRO TREVO;ESTRELA AZUL;ACADEMIA A CÉU ABERTO;RUA;COMENDADOR BARBOSA MELO;25.0;;TREVO; ;POINT (603725.31 7806593.72);FPMZB-SMMA;ATIVO
1960;QUADRA DO PARQUE DO BAIRRO TREVO;ESTRELA AZUL;QUADRA POLIESPORTIVA;RUA;COMENDADOR BARBOSA MELO;25.0;;TREVO; ;POINT (603805.87 7806518.65);FPMZB-SMMA;ATIVO
1961;CAMPO DO PARQUE DO BAIRRO TREVO;ESTRELA AZUL;CAMPO DE FUTEBOL;RUA;COMENDADOR BARBOSA MELO;25.0;;TREVO; ;POINT (603756.45 7806539.80);FPMZB-SMMA;ATIVO
1258;CAMPO DO LETÍCIA;REPÚBLICA TCHECA, PRAÇA 3.719;CAMPO DE FUTEBOL SOCIETY;RUA;REPUBLICA TCHECA;165.0;;LETÍCIA; ;POINT (607296.51 7810003.02);SMEL;ATIVO
3112;COMPLEXO ESPORTIVO DO POMPÉIA;;CAMPO DE FUTEBOL;AVENIDA;PASTOR ANSELMO SILVESTRE;15.0;;HORTO FLORESTAL; ;POINT (614556.43 7799243.45);SMEL;ATIVO
2021;QUADRA DA PRAÇA DO CANAL 2;;QUADRA DE FUTSAL;RUA;ANTONIO PEIXOTO GUIMARAES;189.0;;MONSENHOR MESSIAS; ;POINT (607343.60 7797997.36);SMEL;ATIVO
1309;QUADRA DA PRAÇA DO CANAL 1;;QUADRA DE FUTSAL;RUA;ANTONIO PEIXOTO GUIMARAES;189.0;;MONSENHOR MESSIAS; ;POINT (607333.39 7798035.57);SMEL;ATIVO
1233;QUADRA DO CONJUNTO CALIFÓRNIA;;QUADRA POLIESPORTIVA;RUA;JOSE CLAUDIO SANCHES;620.0;;CALIFÓRNIA; ;POINT (602869.64 7796218.52);SMEL;ATIVO
2992;CAMPO DO RIBEIRO DE ABREU;;CAMPO DE FUTEBOL;RUA;EFIGENIA BARTOLOMEU VELOSO;237.0;;RIBEIRO DE ABREU; ;POINT (614826.80 7808290.88);SMEL;ATIVO
1662;ACADEMIA DO PARQUE AGGEO PIO SOBRINHO;;ACADEMIA A CÉU ABERTO;AVENIDA;PROFESSOR MARIO WERNECK;2691.0;;BURITIS; ;POINT (607632.54 7790802.88);FPMZB-SMMA;ATIVO
1269;QUADRA DO PARQUE AGGEO PIO SOBRINHO;;QUADRA POLIESPORTIVA;AVENIDA;PROFESSOR MARIO WERNECK;2691.0;;BURITIS; ;POINT (607641.02 7790762.69);FPMZB-SMMA;ATIVO
